water_year,flow_ojinaga_nat,flow_ojinaga_reg,flow_camargo_nat,flow_amistad_nat,flow_amistad_reg,flow_lvsdsr_nat,conchos_capture_af,capture_pct_natural,amistad_capture_af,ojinaga_reg_5yr,decade
1901,543203.8293832262,415894.23,6000429.04218222,2735903.0370000005,3231019.8812769684,424001.32999999996,127309.59938322625,23.4,-495116.8442769679,,1900s
1902,1360928.0368830906,1370099.9000000001,5337840.700459668,3049161.381,2992825.8425805885,66478.22,-9171.863116909517,-0.7,56335.53841941152,,1900s
1903,721860.8571999744,630732.38,7218120.564385604,3724482.811,3935627.993080972,338066.07,91128.47719997435,12.6,-211145.182080972,1233252.0520000001,1900s
1904,1706475.5261424927,1953000.3900000001,7669741.351074608,3677623.7730000005,4706777.96108,320230.45000000007,-246524.86385750747,-14.4,-1029154.1880799993,1788426.2600000002,1900s
1905,1689182.4797687116,1796533.3600000003,10666412.488470394,6360182.092,8028118.237286944,501018.78,-107350.88023128873,-6.4,-1667936.1452869438,1716110.928,1900s
1906,2847489.0187555756,3191765.2700000005,9589071.722576478,5483318.156,7845218.162015056,357523.11,-344276.25124442484,-12.1,-2361900.006015056,1845824.5280000002,1900s
1907,940437.3530546891,1008523.24,6181794.44131626,3276808.749,4768465.7281184,398058.61,-68085.88694531086,-7.2,-1491656.9791184003,1717083.78,1900s
1908,1218973.753308142,1279300.3800000001,7267547.16432859,3272755.199,5052543.830376,256184.36,-60326.62669185805,-4.9,-1779788.6313760001,1480680.7440000002,1900s
1909,1205119.4417831807,1309296.6500000001,7664330.955553469,3178956.052,4143288.3330383995,235105.89999999997,-104177.20821681945,-8.6,-964332.2810383993,1055057.9940000002,1900s
1910,755366.7373247284,614518.1799999999,5454317.101840705,2749279.7520000003,2961520.656964288,209163.18,140848.55732472846,18.6,-212240.90496428777,1130129.74,1910s
1911,1066765.821848429,1063651.52,5420443.668501832,3060187.037,3087337.5203296007,115120.82,3114.3018484290224,0.3,-27150.483329600655,998308.294,1910s
1912,1311207.4423628417,1383881.97,6243055.784217825,4007258.459,4340441.049579102,198623.95,-72674.52763715829,-5.5,-333182.5905791018,1213795.012,1910s
1913,1016139.0110285975,620193.15,5380572.828284621,2979116.037,2849402.9396402,160520.58000000002,395945.86102859746,39.0,129713.09735979978,1324700.1400000001,1910s
1914,2858029.547626495,2386730.24,12001705.657348141,6183447.312,5862034.968021145,461293.99,471299.3076264947,16.5,321412.3439788548,1233252.052,1910s
1915,1600420.852886187,1169043.82,9725169.67517642,5079827.789,4946837.531934841,411029.97000000003,431377.03288618685,27.0,132990.25706515927,1263086.1800000002,1910s
1916,1545183.4896181275,606411.0800000001,7708201.181424868,4416018.441000001,3530593.1457028124,191327.56,938772.4096181274,60.8,885425.2952971882,1259032.6300000004,1910s
1917,2301997.9963144804,1533052.61,9111993.792425537,5602654.668,3155487.7467689672,184031.17,768945.3863144803,33.4,2447166.9212310323,1193202.9780000001,1910s
1918,1051831.157188401,599925.4000000001,6326347.727343523,3004734.4729999998,2287479.218798847,189706.14,451905.75718840095,43.0,717255.2542011528,1457980.864,1910s
1919,2332216.1347875656,2057581.9800000002,12535000.289938848,6491760.325000001,6187593.838195279,334823.23,274634.15478756535,11.8,304166.4868047219,1471114.366,1910s
1920,2723646.02251524,2492933.25,15184258.069982868,7288850.397,7896907.609305434,530204.3400000001,230712.77251524013,8.5,-608057.212305434,1226928.5140000002,1920s
1921,1139002.3196621758,672078.5900000001,6895606.668518534,4670824.5940000005,2254742.7301903754,208352.47,466923.72966217576,41.0,2416081.863809625,1359884.9540000001,1920s
1922,742042.1196681081,312123.35000000003,8108825.174341516,3678110.1990000005,3543940.32386217,225377.38,429918.769668108,57.9,134169.87513783062,1104835.588,1920s
1923,2055647.583547974,1264707.6,10600863.99337374,4915740.085,4448336.699317608,105392.29999999999,790939.9835479739,38.5,467403.38568239193,1045167.332,1920s
1924,1213717.2033132543,782335.15,9081855.354455303,4958464.502,4072348.7434799997,259427.2,431382.05331325426,35.5,886115.7585200006,1206660.764,1920s
1925,2873793.7479212536,2194591.97,11169827.682641346,6160423.148000001,5585798.9045344,327526.84,679201.7779212533,23.6,574624.2434656005,1330537.2519999999,1920s
1926,1939692.1189890727,1479545.75,9542464.23264813,5709181.962000001,3938083.8823968004,244023.71000000002,460146.36898907274,23.7,1771098.0796032008,1342373.6180000002,1920s
1927,1080105.75071193,931505.79,8214935.101132518,4344757.032,3077168.7523712,224566.67,148599.96071192995,13.8,1267588.2796287998,1373504.882,1920s
1928,1376052.262039067,1323889.4300000002,7776223.001128756,4123271.0600000005,3351278.4941824004,205109.63,52162.83203906682,3.8,771992.5658176001,1061543.674,1920s
1929,656767.348826267,937991.4700000001,7424116.544763599,4429151.943,2457982.3096208004,251320.1,-281224.12117373303,-42.8,1971169.6333791995,906373.78,1920s
1930,915917.5871931391,634785.93,6093609.800834822,3709565.7470000004,1919418.7144895,266723.59,281131.6571931391,30.7,1790147.0325105004,986958.354,1930s
1931,1098049.8700174694,703696.28,7416088.38286666,3597444.5540000005,3139856.967978,551282.8,394353.59001746937,35.9,457587.5860220003,1063651.52,1930s
1932,2262052.2544544423,1334428.6600000001,10106254.242121449,6912680.957,4962738.3056928,540743.5700000001,927623.5944544422,41.0,1949942.6513072,1011117.5120000001,1930s
1933,3012293.0682842783,1707355.2600000002,11538169.542396914,6021386.383,6289628.9111489,631543.0900000001,1304937.808284278,43.3,-268242.5281488998,1023764.5880000001,1930s
1934,839176.484308087,675321.43,5652552.794228179,2617215.093,2702445.6190112,171870.52000000002,163855.05430808698,19.5,-85230.52601120016,1026196.718,1930s
1935,1423112.4824682206,698021.3099999999,9096258.185994085,5267831.438,5086252.114467201,494533.10000000003,725091.1724682207,51.0,181579.32353279926,859368.8142000001,1930s
1936,1976050.4502176745,715856.9299999999,8819613.504075307,5410435.3270000005,3841484.0890592,261859.33000000002,1260193.5202176746,63.8,1568951.2379408004,966852.746,1930s
1937,1525017.3233565823,500289.14100000006,7773425.206950008,5822276.007,2437155.753432,115931.53000000001,1024728.1823565823,67.2,3385120.253568,990509.2638000001,1930s
1938,3554970.3570719226,2244774.9189999998,10185573.518324567,7368218.9059999995,4527722.3291346,126470.76000000001,1310195.4380719229,36.9,2840496.5768653993,973192.4982,1930s
1939,1533387.586113692,793604.0190000001,6206060.790743892,4352620.919,2500033.0914676,84313.84000000001,739783.5671136919,48.2,1852587.8275324,1076314.8102,1930s
1940,1425606.1481217414,611437.4820000001,6385930.9128678795,3709160.3920000005,2533223.8264019005,137820.7,814168.6661217413,57.1,1175936.5655981,1529226.0588000002,1940s
1941,2812579.532921553,1231468.49,12574162.02490001,9081573.42,3776057.0194309996,257805.78000000003,1581111.0429215531,56.2,5305516.400569,1278327.5280000002,1940s
1942,3641452.329283513,2764845.384,13744092.85260167,9665689.975000001,6749403.687358601,274830.69,876606.945283513,24.1,2916286.2876414005,1286596.77,1940s
1943,1892957.552894925,990282.2650000001,7427012.1413753275,5052669.004000001,3100258.1298836004,170249.1,902675.2878949249,47.7,1952410.8741164003,1278911.2392000002,1940s
1944,1788849.1537542122,834950.229,9410428.77217949,5246104.41,3020330.6363386,111998.68064183157,953898.9247542121,53.3,2225773.7736614,1180280.2606000002,1940s
1945,1165080.7017981582,573009.828,6685598.796717103,4223636.958000001,1958983.0568733998,118960.07942136962,592070.8737981583,50.8,2264653.901126601,775330.6156000003,1940s
1946,1172937.7076619272,738313.5970000001,7008616.425215898,3564691.87,3133168.8699052,200630.19099581108,434624.11066192714,37.1,431523.00009480026,656075.1746000003,1940s
1947,1668947.8795384695,740097.1590000001,7694404.289538223,4491414.471,2804243.4011203,168339.74049817305,928850.7205384694,55.7,1687171.0698797,608324.3556000002,1940s
1948,1344149.270299778,394005.06000000006,7981059.194211388,5194705.396,2751182.6342978003,128137.03619515922,950144.210299778,70.7,2443522.7617021995,628770.4618000003,1940s
1949,2900204.9639346097,596196.1340000001,9640847.680730956,6378747.351000001,3441395.2990772002,266837.89064901427,2304008.8299346096,79.4,2937352.0519228005,571064.1240000002,1940s
1950,1438414.9705114758,675240.359,5806565.28547414,4237743.312000001,2260633.0794893,93586.38741153339,763174.6115114758,53.1,1977110.2325107008,495603.2372000002,1950s
1951,547698.628065836,449781.90800000005,4137774.9969664435,2289363.969,1518899.7861028002,82853.07414690463,97916.72006583598,17.9,770464.1828971999,439502.1052000003,1950s
1952,1031220.1415811738,362792.72500000003,5044004.81643533,4494738.382,1088525.39020748,53075.99040784391,668427.4165811737,64.8,3406212.9917925205,370753.89720000024,1950s
1953,747127.9672707139,113499.40000000001,5396932.460335457,2816001.185,1438754.9866065602,115895.71477060762,633628.5672707139,84.8,1377246.1983934399,309529.0780000002,1950s
1954,1105201.5029475663,252455.094,7258287.509539279,3254676.3660000004,4123068.86730458,149550.86728352017,852746.4089475663,77.2,-868392.5013045794,280343.5180000002,1950s
1955,1785001.4401370848,369116.263,7542033.684098715,5093123.433,2098472.895264,85244.6329002686,1415885.1771370848,79.3,2994650.537736,257043.7126000002,1950s
1956,891604.7576128256,303854.108,4091155.425108036,2556249.7010000004,1012055.665612,88474.49498811038,587750.6496128256,65.9,1544194.0353880003,409651.76300000027,1950s
1957,614972.567219119,246293.69800000003,6824762.72404516,5829977.751999999,3200297.4171459,224119.2524061085,368678.869219119,60.0,2629680.3348540994,675516.0004000003,1950s
1958,3029058.86904474,876539.6520000002,11222221.79079448,7766682.871,3362991.1393507197,231591.40902487654,2152519.21704474,71.1,4403691.7316492805,754252.1556000003,1950s
1959,2768944.0347863664,1581776.281,12843471.09977646,6179312.691000001,5951814.5195827205,349621.30366117,1187167.7537863664,42.9,227498.1714172801,800608.5534000003,1950s
1960,2113083.2470384305,762797.039,6855655.290343148,5262561.823,2383663.36946976,138700.27862762057,1350286.2080384307,63.9,2878898.45353024,828821.2614000002,1960s
1961,1252996.5861261277,535636.0970000001,6770595.633057602,4014311.636,2949765.63695712,372711.249724493,717360.4891261277,57.3,1064545.9990428798,743388.6416000002,1960s
1962,928151.19094305,387357.238,5428625.447620979,4134377.7870000005,1579225.5149414402,139248.27439581847,540793.95294305,58.3,2555152.2720585605,498084.00980000023,1960s
1963,1265275.8878232837,449376.553,4946535.360455447,3270566.2820000006,1762324.0441574403,119320.0906392737,815899.3348232836,64.5,1508242.2378425603,415407.80400000024,1960s
1964,1055327.0093698849,355253.12200000003,5476580.516736236,3208709.109,2745404.8435699204,259054.72343809236,700073.8873698849,66.3,463304.2654300798,536673.8058000002,1960s
1965,911772.0136956096,349416.01,6698488.528353977,4533247.107,2345454.3347712,162223.66488642123,562356.0036956096,61.7,2187792.7722287998,571339.7654000001,1960s
